Project,cas_number,Link,nGenes,Chemical_ID,concentration,concentration_unit,Condition,project_name
ADIPO,101-02-0,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=101-02-0&stat=gene_expression,1000,3139.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,104-76-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=104-76-7&stat=gene_expression,1001,380.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,105-95-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=105-95-3&stat=gene_expression,1000,10725.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,107534-96-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=107534-96-3&stat=gene_expression,1000,2973.0,20.0,uM,WT,Human adipocyte cell lines
ADIPO,112529-15-4,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=112529-15-4&stat=gene_expression,1001,2655.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,115-86-6,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,1000,3138.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,117-81-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression,1004,1603.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,120116-88-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=120116-88-3&stat=gene_expression,1000,1535.0,20.0,uM,WT,Human adipocyte cell lines
ADIPO,124495-18-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=124495-18-7&stat=gene_expression,1000,2752.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,126-73-8,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=126-73-8&stat=gene_expression,1000,3102.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,131-70-4,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=131-70-4&stat=gene_expression,1000,2187.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,131341-86-1,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=131341-86-1&stat=gene_expression,1000,1846.0,2.0,uM,WT,Human adipocyte cell lines
ADIPO,13674-87-8,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=13674-87-8&stat=gene_expression,1000,3144.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,13674-87-8,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=13674-87-8&stat=gene_expression,1000,3143.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,138261-41-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=138261-41-3&stat=gene_expression,1000,1961.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,1461-22-9,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=1461-22-9&stat=gene_expression,1000,3104.0,0.08,uM,WT,Human adipocyte cell lines
ADIPO,23031-36-9,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=23031-36-9&stat=gene_expression,1000,2691.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,2392-39-4,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=2392-39-4&stat=gene_expression,1000,1600.0,0.2,uM,WT,Human adipocyte cell lines
ADIPO,2528-16-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=2528-16-7&stat=gene_expression,1000,2186.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,2795-39-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=2795-39-3&stat=gene_expression,1000,2686.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,302-79-4,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=302-79-4&stat=gene_expression,1000,2778.0,1.0,uM,WT,Human adipocyte cell lines
ADIPO,335-67-1,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=335-67-1&stat=gene_expression,1003,2596.0,5.0,uM,WT,Human adipocyte cell lines
ADIPO,35065-27-1,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=35065-27-1&stat=gene_expression,1000,4012.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,35693-99-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=35693-99-3&stat=gene_expression,1000,10122.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,4376-20-9,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=4376-20-9&stat=gene_expression,1000,2185.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,50-22-6,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=50-22-6&stat=gene_expression,1000,1450.0,2.0,uM,WT,Human adipocyte cell lines
ADIPO,50-29-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=50-29-3&stat=gene_expression,1000,1629.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,55-38-9,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=55-38-9&stat=gene_expression,1000,1827.0,40.0,uM,WT,Human adipocyte cell lines
ADIPO,57465-28-8,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=57465-28-8&stat=gene_expression,1000,3316.0,0.01,uM,WT,Human adipocyte cell lines
ADIPO,577-11-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=577-11-7&stat=gene_expression,1000,1706.0,5.0,uM,WT,Human adipocyte cell lines
ADIPO,68694-11-1,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=68694-11-1&stat=gene_expression,1000,3127.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,72-55-9,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=72-55-9&stat=gene_expression,1000,2688.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,731-27-1,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=731-27-1&stat=gene_expression,1000,11061.0,0.1,uM,WT,Human adipocyte cell lines
ADIPO,732-26-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=732-26-3&stat=gene_expression,1000,332.0,20.0,uM,WT,Human adipocyte cell lines
ADIPO,79-94-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=79-94-7&stat=gene_expression,1017,467.0,20.0,uM,WT,Human adipocyte cell lines
ADIPO,79-94-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=79-94-7&stat=gene_expression,1017,441.0,20.0,uM,WT,Human adipocyte cell lines
