Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
101,ANY24,0.0,0.03125,0.025712139835996878,0.12619263820012558
101,ANY24,0.0001,0.0625,0.04518943296835905,0.13897123144154583
101,ANY24,0.001,0.03125,0.025712139835996878,0.12619263820012558
101,ANY24,0.0025,0.03125,0.025712139835996878,0.12619263820012558
101,ANY24,0.005,0.0625,0.04518943296835905,0.13897123144154583
101,ANY24,0.01,0.125,0.07529865612519929,0.15568305481650224
101,ANY120,0.0,0.09375,0.061348448701633834,0.14843154728387867
101,ANY120,0.0001,0.09375,0.061348448701633834,0.14843154728387867
101,ANY120,0.001,0.03125,0.025712139835996878,0.12619263820012558
101,ANY120,0.0025,0.0625,0.04518943296835905,0.13897123144154583
101,ANY120,0.005,0.0625,0.04518943296835905,0.13897123144154583
101,ANY120,0.01,0.125,0.07529865612519929,0.15568305481650224
101,TOT_MORT,0.0,0.0625,0.04518943296835905,0.13897123144154583
101,TOT_MORT,0.0001,0.03125,0.025712139835996878,0.12619263820012558
101,TOT_MORT,0.001,0.03125,0.025712139835996878,0.12619263820012558
101,TOT_MORT,0.0025,0.0625,0.04518943296835905,0.13897123144154583
101,TOT_MORT,0.005,0.0625,0.04518943296835905,0.13897123144154583
101,TOT_MORT,0.01,0.09375,0.061348448701633834,0.14843154728387867
101,ANY_MORT,0.0,0.03125,0.025712139835996878,0.12619263820012558
101,ANY_MORT,0.0001,0.09375,0.061348448701633834,0.14843154728387867
101,ANY_MORT,0.001,0.0,0.0,0.1071791982550706
101,ANY_MORT,0.0025,0.0,0.0,0.1071791982550706
101,ANY_MORT,0.005,0.0,0.0,0.1071791982550706
101,ANY_MORT,0.01,0.03125,0.025712139835996878,0.12619263820012558
101,BRN_,0.0,0.03333333333333333,0.02742474295172089,0.1333705765807584
101,BRN_,0.0001,0.06451612903225806,0.04664134551034348,0.14267023833072318
101,BRN_,0.001,0.0,0.0,0.11025539546043595
101,BRN_,0.0025,0.0,0.0,0.11351339317396875
101,BRN_,0.005,0.0,0.0,0.11351339317396875
101,BRN_,0.01,0.034482758620689655,0.028369544327926974,0.13727246017251316
101,CRAN,0.0,0.03333333333333333,0.02742474295172089,0.1333705765807584
101,CRAN,0.0001,0.06451612903225806,0.04664134551034348,0.14267023833072318
101,CRAN,0.001,0.0,0.0,0.11025539546043595
101,CRAN,0.0025,0.0,0.0,0.11351339317396875
101,CRAN,0.005,0.0,0.0,0.11351339317396875
101,CRAN,0.01,0.0,6.938893903907228e-18,0.11696979849974073
101,EDEM,0.0,0.03333333333333333,0.02742474295172089,0.1333705765807584
101,EDEM,0.0001,0.06451612903225806,0.04664134551034348,0.14267023833072318
101,EDEM,0.001,0.0,0.0,0.11025539546043595
101,EDEM,0.0025,0.0,0.0,0.11351339317396875
101,EDEM,0.005,0.0,0.0,0.11351339317396875
101,EDEM,0.01,0.034482758620689655,0.028369544327926974,0.13727246017251316
101,LTKR,0.0,0.0,0.0,0.11351339317396875
101,LTKR,0.0001,0.03225806451612903,0.026540842990712216,0.12968298713112003
101,LTKR,0.001,0.0,0.0,0.11025539546043595
101,LTKR,0.0025,0.0,0.0,0.11351339317396875
101,LTKR,0.005,0.0,0.0,0.11351339317396875
101,LTKR,0.01,0.034482758620689655,0.028369544327926974,0.13727246017251316
101,MUSC,0.0,0.0,0.0,0.11351339317396875
101,MUSC,0.0001,0.0,0.0,0.11025539546043595
101,MUSC,0.001,0.0,0.0,0.11025539546043595
101,MUSC,0.0025,0.0,0.0,0.11351339317396875
101,MUSC,0.005,0.0,0.0,0.11351339317396875
101,MUSC,0.01,0.0,6.938893903907228e-18,0.11696979849974073
101,SKIN,0.0,0.0,0.0,0.11351339317396875
101,SKIN,0.0001,0.0,0.0,0.11025539546043595
101,SKIN,0.001,0.0,0.0,0.11025539546043595
101,SKIN,0.0025,0.0,0.0,0.11351339317396875
101,SKIN,0.005,0.0,0.0,0.11351339317396875
101,SKIN,0.01,0.0,6.938893903907228e-18,0.11696979849974073
101,TCHR,0.0,0.0,0.0,0.11351339317396875
101,TCHR,0.0001,0.0,0.0,0.11025539546043595
101,TCHR,0.001,0.0,0.0,0.11025539546043595
101,TCHR,0.0025,0.0,0.0,0.11351339317396875
101,TCHR,0.005,0.0,0.0,0.11351339317396875
101,TCHR,0.01,0.0,6.938893903907228e-18,0.11696979849974073
101,AXIS,0.0,0.0,0.0,0.11351339317396875
101,AXIS,0.0001,0.06451612903225806,0.04664134551034348,0.14267023833072318
101,AXIS,0.001,0.0,0.0,0.11025539546043595
101,AXIS,0.0025,0.0,0.0,0.11351339317396875
101,AXIS,0.005,0.0,0.0,0.11351339317396875
101,AXIS,0.01,0.0,6.938893903907228e-18,0.11696979849974073
101,NC__,0.0,0.0,0.0,0.11351339317396875
101,NC__,0.0001,0.03225806451612903,0.026540842990712216,0.12968298713112003
101,NC__,0.001,0.0,0.0,0.11025539546043595
101,NC__,0.0025,0.0,0.0,0.11351339317396875
101,NC__,0.005,0.0,0.0,0.11351339317396875
101,NC__,0.01,0.0,6.938893903907228e-18,0.11696979849974073
101,MO24,0.0,0.03125,0.025712139835996878,0.12619263820012558
101,MO24,0.0001,0.0,0.0,0.1071791982550706
101,MO24,0.001,0.03125,0.025712139835996878,0.12619263820012558
101,MO24,0.0025,0.03125,0.025712139835996878,0.12619263820012558
101,MO24,0.005,0.0625,0.04518943296835905,0.13897123144154583
101,MO24,0.01,0.09375,0.061348448701633834,0.14843154728387867
101,DP24,0.0,0.0,0.0,0.11025539546043595
